sector_name_ar,sector_name_en,total_population,total_area,total_density
توزيع السكان المقدر والكثافة السكانية (فرد/كم2) حسب القطاع والمنطقة - إمارة دبي ,توزيع السكان المقدر والكثافة السكانية (فرد/كم2) حسب القطاع والمنطقة - إمارة دبي ,,,
Distribution of Estimated Population & Population Density (person/km2) by Sector and Community - Emirate of Dubai,Distribution of Estimated Population & Population Density (person/km2) by Sector and Community - Emirate of Dubai,,,
رقم المنطقة ,Sector & Community ,,,
القطاع 1,Sector 1,518901.0,124.929455491558,4153.552082319484
القطاع 2,Sector 2,703867.0,174.46146351902297,4034.512756011883
القطاع 3,Sector 3,1411681.0,332.2697821467901,4248.598806906695
القطاع 4,Sector 4,107029.0,61.832382767938995,1730.953833716661
القطاع 5,Sector 5,540732.0,1057.0300523390722,511.5578301708918
القطاع 6,Sector 6,493481.0,292.677694558182,1686.0902254438795
القطاع 7,Sector 7,18833.0,228.84433487196898,82.29611631214928
القطاع 8,Sector 8,41869.0,838.954840574474,49.90614270886168
القطاع 9,Sector 9,27207.0,1663.8774487045503,16.351564847028026
