community_code,year,population,density,is_estimated,is_anomaly
101,2015,1,0.01,True,False
111,2015,2269,3712.47,True,False
112,2015,5485,17921.93,True,False
113,2015,11038,62515.06,True,True
114,2015,2034,13899.97,True,False
115,2015,2892,38316.88,True,True
116,2015,13100,75680.87,True,True
117,2015,26291,67812.06,True,True
118,2015,34456,46111.0,True,True
119,2015,7560,11578.02,True,False
121,2015,1,1.45,True,False
122,2015,17113,16690.48,True,False
123,2015,31947,28702.73,True,False
124,2015,47714,31694.27,True,False
125,2015,5079,6297.93,True,False
126,2015,11903,9344.75,True,False
127,2015,55461,31681.48,True,False
128,2015,1419,1157.49,True,False
129,2015,9629,3563.71,True,False
131,2015,351,305.55,True,False
132,2015,14231,9935.45,True,False
133,2015,14697,10671.37,True,False
134,2015,12354,2130.21,True,False
213,2015,2277,2083.42,True,False
214,2015,13599,3363.83,True,False
215,2015,2155,591.04,True,False
216,2015,24984,5161.22,True,False
221,2015,78,5.51,True,False
226,2015,8510,3319.15,True,False
227,2015,3502,3152.73,True,False
228,2015,7627,2570.32,True,False
231,2015,22083,13018.26,True,False
232,2015,32534,11911.02,True,False
233,2015,8814,4921.15,True,False
234,2015,5162,2286.09,True,False
241,2015,43433,19639.27,True,False
242,2015,7684,5343.82,True,False
243,2015,6671,3860.26,True,False
244,2015,4756,2712.88,True,False
245,2015,24759,10654.56,True,False
246,2015,1944,2102.53,True,False
247,2015,2031,2792.07,True,False
248,2015,8266,3450.7,True,False
251,2015,45713,4888.95,True,False
252,2015,55,5.3,True,False
261,2015,5957,1197.8,True,False
262,2015,11990,1746.71,True,False
263,2015,8178,1899.11,True,False
264,2015,97411,17464.82,True,True
265,2015,10592,2919.66,True,False
266,2015,3999,1648.29,True,False
267,2015,1,0.64,True,False
268,2015,4868,3554.29,True,False
271,2015,2459,101.71,True,False
281,2015,9358,570.23,True,False
282,2015,4182,329.47,True,False
283,2015,1212,115.28,True,False
284,2015,6753,2049.83,True,False
302,2015,33,13.47,True,False
303,2015,4,0.06,True,False
304,2015,1,16.21,True,False
311,2015,4,14.14,True,False
312,2015,34606,39366.85,True,True
313,2015,25311,30573.01,True,False
314,2015,4588,4659.46,True,False
315,2015,3986,1173.64,True,False
316,2015,32815,26716.66,True,False
317,2015,28417,14496.82,True,False
318,2015,50319,23882.28,True,False
319,2015,10601,6993.22,True,False
321,2015,5617,248.2,True,False
322,2015,9895,11215.1,True,False
323,2015,16894,10119.6,True,False
324,2015,1107,1391.76,True,False
325,2015,2391,580.37,True,False
326,2015,8962,1237.9,True,False
332,2015,15057,1511.92,True,False
333,2015,38852,19576.25,True,False
334,2015,27342,10153.69,True,False
335,2015,12229,14648.12,True,False
336,2015,9320,6754.11,True,False
337,2015,6069,562.38,True,False
342,2015,7443,2209.63,True,False
343,2015,8405,1724.97,True,False
345,2015,15798,5939.1,True,False
346,2015,17277,2623.19,True,False
347,2015,9906,956.65,True,False
352,2015,9902,2877.61,True,False
353,2015,6334,2606.13,True,False
354,2015,14551,4074.61,True,False
355,2015,3846,754.9,True,False
356,2015,8598,1304.19,True,False
357,2015,4914,2596.52,True,False
358,2015,35952,14837.8,True,False
359,2015,14792,6607.13,True,False
362,2015,9236,2895.47,True,False
363,2015,6099,2779.4,True,False
364,2015,23513,4872.83,True,False
365,2015,87884,17398.62,True,True
366,2015,5425,2082.1,True,False
367,2015,3208,1736.32,True,False
368,2015,14594,3314.75,True,False
369,2015,28826,6147.71,True,False
372,2015,3278,557.7,True,False
373,2015,30170,7629.74,True,False
375,2015,10557,2134.17,True,False
376,2015,11269,1757.74,True,False
381,2015,17026,636.69,True,False
382,2015,4588,1072.25,True,False
383,2015,20618,19274.78,True,False
384,2015,0,0.0,True,False
388,2015,16486,4290.67,True,False
392,2015,44464,4998.68,True,False
393,2015,30197,3108.57,True,False
394,2015,20108,1815.06,True,False
412,2015,3608,571.59,True,False
413,2015,1,0.16,True,False
415,2015,2827,385.58,True,False
416,2015,14324,1723.28,True,False
421,2015,18360,7790.98,True,False
422,2015,7744,2173.33,True,False
423,2015,10597,1703.68,True,False
424,2015,9777,1900.15,True,False
425,2015,0,0.0,True,False
431,2015,213,20.27,True,False
501,2015,3,0.05,True,False
502,2015,2,0.02,True,False
511,2015,2448,102.83,True,False
512,2015,7454,139.96,True,False
513,2015,1453,30.17,True,False
516,2015,0,0.0,True,False
518,2015,20842,640.04,True,False
521,2015,10205,71.95,True,False
531,2015,8641,331.01,True,False
532,2015,3204,198.65,True,False
533,2015,7443,384.33,True,False
591,2015,54454,2553.69,True,False
592,2015,650,128.55,True,False
593,2015,263,0.72,True,False
594,2015,8004,229.73,True,False
597,2015,49524,2637.93,True,False
598,2015,39952,2327.3,True,False
599,2015,126244,5721.42,True,True
611,2015,134,77.28,True,False
612,2015,1539,581.8,True,False
613,2015,1343,321.94,True,False
614,2015,13671,2509.42,True,False
615,2015,1766,235.97,True,False
616,2015,861,136.31,True,False
617,2015,2664,431.93,True,False
618,2015,5368,225.38,True,False
621,2015,71184,8447.62,True,True
622,2015,934,108.28,True,False
624,2015,10487,1328.06,True,False
626,2015,35926,3676.2,True,False
631,2015,8479,230.63,True,False
643,2015,7652,726.63,True,False
645,2015,7252,240.25,True,False
646,2015,117,17.19,True,False
648,2015,15059,922.76,True,False
664,2015,13383,1713.27,True,False
665,2015,6494,772.38,True,False
671,2015,9893,1676.73,True,False
672,2015,5200,1090.79,True,False
673,2015,10627,2838.89,True,False
674,2015,7964,1906.88,True,False
675,2015,1241,380.73,True,False
676,2015,5483,1273.73,True,False
677,2015,1720,526.45,True,False
681,2015,21434,3150.7,True,False
682,2015,15742,1721.32,True,False
683,2015,7353,908.62,True,False
684,2015,6260,2121.13,True,False
685,2015,13762,837.97,True,False
686,2015,9,0.91,True,False
711,2015,4493,113.13,True,False
721,2015,4118,78.59,True,False
724,2015,1,0.03,True,False
727,2015,31,1.24,True,False
731,2015,2310,68.27,True,False
735,2015,512,33.15,True,False
736,2015,402,30.84,True,False
811,2015,9170,878.26,True,False
812,2015,2195,191.1,True,False
813,2015,0,0.0,True,False
814,2015,3347,55.79,True,False
821,2015,283,9.24,True,False
824,2015,209,5.96,True,False
826,2015,37,1.49,True,False
831,2015,1113,15.09,True,False
835,2015,115,3.53,True,False
841,2015,842,5.52,True,False
845,2015,141,3.38,True,False
847,2015,148,4.23,True,False
851,2015,150,1.82,True,False
857,2015,453,13.08,True,False
861,2015,73,0.96,True,False
891,2015,8105,62.95,True,False
911,2015,5,0.36,True,False
912,2015,1,0.15,True,False
913,2015,2398,156.84,True,False
914,2015,3477,56.37,True,False
915,2015,468,26.76,True,False
917,2015,98,3.62,True,False
919,2015,1,0.16,True,False
921,2015,2275,127.85,True,False
922,2015,4678,326.04,True,False
923,2015,2,0.2,True,False
924,2015,5,0.38,True,False
925,2015,68,2.7,True,False
931,2015,2028,18.0,True,False
941,2015,39,0.43,True,False
945,2015,303,2.16,True,False
951,2015,392,4.42,True,False
956,2015,26,0.32,True,False
961,2015,436,2.56,True,False
967,2015,20,0.28,True,False
971,2015,1,0.01,True,False
975,2015,1,0.03,True,False
978,2015,0,0.0,True,False
981,2015,219,1.57,True,False
987,2015,189,6.67,True,False
988,2015,0,0.0,True,False
991,2015,8,0.06,True,False
101,2016,1,0.01,True,False
111,2016,2388,3907.87,True,False
112,2016,5774,18865.19,True,False
113,2016,11619,65805.32,True,True
114,2016,2141,14631.55,True,False
115,2016,3044,40333.56,True,True
116,2016,13789,79664.07,True,True
117,2016,27675,71381.11,True,True
118,2016,36269,48537.9,True,True
119,2016,7958,12187.39,True,False
121,2016,1,1.52,True,False
122,2016,18013,17568.93,True,False
123,2016,33628,30213.4,True,False
124,2016,50226,33362.39,True,False
125,2016,5347,6629.4,True,False
126,2016,12530,9836.58,True,False
127,2016,58380,33348.93,True,False
128,2016,1494,1218.41,True,False
129,2016,10136,3751.27,True,False
131,2016,370,321.63,True,False
132,2016,14980,10458.37,True,False
133,2016,15470,11233.02,True,False
134,2016,13005,2242.33,True,False
213,2016,2396,2193.07,True,False
214,2016,14315,3540.88,True,False
215,2016,2268,622.15,True,False
